source,raw_text,priority_label
github_scipy,CI: CodeQL Analyze (cpp) failing about 75% of the time for non-main branches,High
github_scipy,"BUG: QMC Sobol' sequences may violate the (0,m,2)-net property for dimension >= 3",High
github_scipy,DOC: Intersphinx inventory not available,Low
github_scipy,scipy.signal.convolve misses output dimensions as in numpy.convolve,Medium
github_scipy,CI: linalg: dev deps failing due to NumPy deprecation of generic time units,High
github_scipy,BUG: ABI-breaking changes for `cython_special.bdtrik` & co in `main`,High
github_scipy,BUG: The COBYLA optimizer doesn't seem to respect boundaries,High
github_scipy,BUG: scipy.integrate.ode with integrator='vode' uses transposed Jacobian convention in 1.17.x,High
github_scipy,ENH: recently-published Hausdorff algorithms,Medium
github_scipy,BUG: umbrella issue for SciPy C Extension Analysis Report,High
github_scipy,BLD: warnings from `lld-link` on Windows,Medium
github_scipy,BLD: warnings from SuperLU on Windows,Medium
github_scipy,BUG: ValueError: could not convert integer scalar when assigning values to large sparse matrices,High
github_scipy,BUG: `_batched_linalg` wrapper for `linalg.solve` silently copies the matrix for C-contiguous arrays,High
github_scipy,ENH: interpolate.RBFInterpolator: add Matérn kernel,Medium
github_scipy,RFC: declaring netcdf IO functions in `scipy.io` as legacy,Medium
github_scipy,DOC: return _RichResult is a bit strange with leading underscore,Low
github_scipy,DOC: `elementwise.find_root`: transforming a callable to be strictly elementwise,Low
github_scipy,BUG: matplotlib: The Pareto PDF from scipy doesn't match my own derivation from the docs,High
github_scipy,BUG: optimize.nnls: double free crash on empty input,High
github_scipy,BUG: scipy.stats.poisson_binom vectorization does not work for >64 inputs,High
github_scipy,ENH: signal.sosfilt to accept multiple sos arrays,Medium
github_scipy,BUG: scipy.stats.describe().variance is failing on boolean arrays,High
github_scipy,BLD: mixed path separators in `scipy/__config__.py` on Windows,Medium
github_scipy,ENH/BENCH: signal.oaconvolve: performance enhancements,Medium
github_scipy,BUG: linalg TestDTypes.test_det[g] failing on 32-bit armhf,High
github_scipy,BLD: meson warning for duplicate `include_directories`,Medium
github_scipy,ENH: stats: Pearson Distribution,Medium
github_scipy,BUG: optimize: test_linprog.py::TestLinprogHiGHSMIP::test_mip_rel_gap_passdown fails,High
github_scipy,"`integrate.nquad`: `[dict([])] * depth` creates shared dict references, not independent option dicts per integration level",Medium
github_scipy,`integrate.quad`: missing `elif` in error-6 handler causes first validation message to be silently overwritten,High
github_scipy,DOC: nan policy 'omit' doesn't work on stats.ttest_ind on cupy arrays,Low
github_scipy,DOC: Clarify `scipy.special.kolmogorov` docstring,Low
github_scipy,CI: checksum verification failing for Windows Intel OneAPI downloads,High
github_scipy,BENCH: switch timing from spmatrix to sparray,Low
github_scipy,Tracking spmatrix deprecation progress and action items,Medium
github_scipy,CI: cross-job cache restores have extremely low ccache hit rate,Medium
github_scipy,BUG: `scipy.sparse.linalg.tfqmr` raises `UnboundLocalError` when `maxiter=0` and `show=True`,High
github_scipy,ENH:  Add Inverse Chirp Z-Transform (ICZT) to scipy.signal,Medium
github_scipy,BLD: having difficulties building with more modern rtools versions,Medium
github_scipy,DOC: Inconsistent use of conda and mamba in Developer Documentation,Low
github_scipy,BUG: Unstable behavior of `stats.mannwhitneyu` from v1.17.0,High
github_scipy,CI: linalg: `_fblasmodule.c` build failures in dev deps job,High
github_scipy,CI: linalg: `TestSolve::test_structure_detection` crashing on Win-ARM64,High
github_scipy,BUG: `special.lambertw` gives `nan` for -1/e,High
github_scipy,BUG: 1.17 regression: `spatial.transform.Rotation.approx_equal` return type changed for 0d rotations,High
github_scipy,BUG: optimize.root: minpack solvers Jacobian count is off by one,High
github_scipy,BUG: FreeBSD 15.0 gfortran compiler problem,High
github_scipy,BUG: `Rotation.apply` fails with read-only np array in 1.17.1,High
github_scipy,MAINT/DOC: optimize.root: sparse arrays as `jac` unsupported with `hybr`,Medium
github_scipy,BUG: Structural vulnerability in f2py version check causes name collision with scipy/signal,High
github_scipy,"ENH: Include special functions for Clebsch-Gordon coefficients, also Wigner 3j/6j/9j symbols",Medium
github_scipy,ENH: interpolate: CuPy delegation,Medium
github_scipy,BUG: stats.kstest: issues with `method` argument,High
github_scipy,TST: sparse.linalg.aslinearoperator: add `xp_capabilities`,Low
github_scipy,DEV: Pixi task to update GHA hashes,Low
github_scipy,DOC: optimize: The convergence table for root finders is hard to understand,Low
github_scipy,DOC: optimize.root: inexact newton methods and the `jac` option,Low
github_scipy,ENH: optimize.root: add exact Newton method,Medium
github_scipy,BUG: Non-singular matrix incorrectly flagged as singular in _multivariate.py,High
github_scipy,ENH: add more extrapolate options to Bspline (and probably others),Medium
github_scipy,"BUG: make_splrep  with bc_type='periodic' unnecessarily requires y[-1] to equal y[0], documentation needs updating",High
github_scipy,BUG: multiple workers with the minimize function with the L-BFGS-B method doesn't work,High
github_scipy,TST/CI: slow GPU tests,Medium
github_scipy,BUG: stats.linregress: incorrect p-value and standard errors when data contains only two points,High
github_scipy,BUG: `special.chdtr(c)`: edge case bugs,High
github_scipy,BUG: signal._spline.sepfir2d: heap-buffer-overflow,High
github_scipy,QUERY: sparse.coo_array.tocsc does not pass copy to self._coo_to_compressed,Low
github_scipy,BUG: LinearOperator:  multiplication with a sparse matrix returns a matrix of sparse matrices instead of the matrix-matrix multipliaction,High
