source,raw_text,priority_label
stackoverflow,How do I check if a directory exists or not in a Bash shell script?,Medium
stackoverflow,How do I install pip on macOS or OS X?,Medium
stackoverflow,Vertically align text to top within a UILabel,Low
stackoverflow,Does JavaScript guarantee object property order?,Low
stackoverflow,What is the correct way to check for string equality in JavaScript?,Medium
stackoverflow,How do I get ASP.NET Web API to return JSON instead of XML using Chrome?,Medium
stackoverflow,How to directly initialize a HashMap (in a literal way)?,Medium
stackoverflow,How to permanently remove few commits from remote branch,Medium
stackoverflow,Multiline string literal in C#,Low
stackoverflow,How to concatenate string variables in Bash,Medium
stackoverflow,What is tail recursion?,Medium
stackoverflow,How can I flush the output of the print function?,Medium
stackoverflow,Save plot to image file instead of displaying it,Low
stackoverflow,What does %w(array) mean?,Medium
stackoverflow,What does O(log n) mean exactly?,Medium
stackoverflow,Changing the color of an hr element,Low
stackoverflow,Detecting an undefined object property,Medium
stackoverflow,Center a column using Twitter Bootstrap,Low
stackoverflow,How do I diff the same file between two different commits on the same branch?,Medium
stackoverflow,How to list npm user-installed packages?,Medium
stackoverflow,Get the data received in a Flask request,Low
stackoverflow,How do I redirect to another webpage?,Medium
stackoverflow,"What is the difference between #include <filename> and #include ""filename""?",Medium
stackoverflow,Difference between StringBuilder and StringBuffer,Medium
stackoverflow,How are lambdas useful?,Low
stackoverflow,How do you get a list of the names of all files present in a directory in Node.js?,Low
stackoverflow,How can I declare and use Boolean variables in a shell script?,Medium
stackoverflow,"Text editor to open big (giant, huge, large) text files",Low
stackoverflow,Is there a reason for C#'s reuse of the variable in a foreach?,Low
stackoverflow,How do I reverse a list or loop over it backwards?,Medium
stackoverflow,Image Processing: Algorithm Improvement for 'Coca-Cola Can' Recognition,Low
stackoverflow,Where should I put <script> tags in HTML markup?,Low
stackoverflow,Use jQuery to hide a DIV when the user clicks outside of it,Low
stackoverflow,Creating a new DOM element from an HTML string using built-in DOM methods or Prototype,Low
stackoverflow,What is the Python equivalent for a case/switch statement?,Medium
stackoverflow,Check if an element contains a class in JavaScript?,Low
stackoverflow,How do you disable browser autocomplete on web form field / input tags?,Medium
stackoverflow,Object comparison in JavaScript,Low
stackoverflow,How do I remove a directory from a Git repository?,Medium
stackoverflow,"What is std::move(), and when should it be used?",Medium
stackoverflow,What is JavaScript's highest integer value that a number can go to without losing precision?,Medium
stackoverflow,What is the most efficient way to deep clone an object in JavaScript?,Medium
stackoverflow,How to leave/exit/deactivate a Python virtualenv,Medium
stackoverflow,I ran into a merge conflict. How do I abort the merge?,Medium
stackoverflow,application/x-www-form-urlencoded or multipart/form-data?,Low
stackoverflow,Sql Server 'Saving changes is not permitted' error ► Prevent saving changes that require table re-creation,High
stackoverflow,LINQ's Distinct() on a particular property,Low
stackoverflow,What are the options for storing hierarchical data in a relational database?,Low
stackoverflow,How to conditionally add a member to an object?,Medium
stackoverflow,How can I check if an object has an attribute?,Medium
stackoverflow,How do I check if an object has a specific property in JavaScript?,Medium
stackoverflow,Can I write a CSS selector selecting elements NOT having a certain class or attribute?,Low
stackoverflow,How can I upload files asynchronously with jQuery?,Medium
stackoverflow,Changing git commit message after push (given that no one pulled from remote),Low
stackoverflow,Format number to always show 2 decimal places,Low
stackoverflow,"Error ""The input device is not a TTY""",High
stackoverflow,What are the differences between type() and isinstance()?,Low
stackoverflow,What is the difference between a process and a thread?,Medium
stackoverflow,How do I redirect with JavaScript?,Medium
stackoverflow,"What does ""static"" mean in C?",Medium
stackoverflow,How can I select an element by name with jQuery?,Medium
stackoverflow,Retrieving the last record in each group - MySQL,Low
stackoverflow,How to find event listeners on a DOM node in JavaScript or in debugging?,High
stackoverflow,How do I execute a program or call a system command?,Medium
stackoverflow,Is there a simple way to delete a list element by value?,Low
stackoverflow,How to display Base64 images in HTML,Medium
stackoverflow,Use a list of values to select rows from a Pandas dataframe,Low
stackoverflow,How to iterate a loop with index and element in Swift,Medium
stackoverflow,How can I get last characters of a string,Medium
stackoverflow,Is there a way to get the source code from an APK file?,Low
stackoverflow,What is the difference between <section> and <div>?,Medium
stackoverflow,Insert into ... values ( SELECT ... FROM ... ),Low
stackoverflow,What is the difference between ++i and i++?,Medium
stackoverflow,SQL Update from One Table to Another Based on a ID Match,Low
stackoverflow,"Getting error: Peer authentication failed for user ""postgres"", when trying to get pgsql working with rails",High
stackoverflow,How do I measure elapsed time in Python?,Medium
stackoverflow,Can I hide the HTML5 number input’s spin box?,Low
stackoverflow,How is Docker different from a virtual machine?,Medium
stackoverflow,"Message ""Support for password authentication was removed.""",Low
stackoverflow,Check if a value is an object in JavaScript,Low
stackoverflow,How do I import other Python files?,Medium
stackoverflow,How to create a GUID/UUID in Python,Medium
stackoverflow,"How do I solve ""error: externally-managed-environment"" every time I use pip 3?",High
stackoverflow,What is Python's equivalent of && (logical-and) in an if-statement?,Medium
stackoverflow,.gitignore exclude folder but include specific subfolder,Low
stackoverflow,"How can I get a list of Git branches, ordered by most recent commit?",Medium
stackoverflow,"What are the differences between the urllib, urllib2, urllib3 and requests module?",Low
stackoverflow,When should I use git pull --rebase?,Low
stackoverflow,Convert ArrayList<String> to String[] array,Medium
stackoverflow,How do I check if string contains substring?,Medium
stackoverflow,How can I horizontally center an element?,Medium
stackoverflow,Could not find a declaration file for module 'module-name'. '/path/to/module-name.js' implicitly has an 'any' type,Low
stackoverflow,How to use SSH to run a local shell script on a remote machine?,Medium
stackoverflow,When is a CDATA section necessary within a script tag?,Low
stackoverflow,'this' vs $scope in AngularJS controllers,Low
stackoverflow,How do I duplicate a line or selection within Visual Studio Code?,Medium
stackoverflow,How can I remove old and unused Docker images?,Medium
stackoverflow,Is < faster than <=?,Low
stackoverflow,Can I specify multiple users for myself in .gitconfig?,Low
stackoverflow,What are metaclasses in Python?,Medium
stackoverflow,DateTime vs DateTimeOffset,Low
stackoverflow,How do I check if an element is hidden in jQuery?,Medium
stackoverflow,How to pass props to {this.props.children},Medium
stackoverflow,How can I make Bootstrap columns all the same height?,Medium
stackoverflow,How do I get the number of elements in a list (length of a list) in Python?,Medium
stackoverflow,AngularJS: Service vs provider vs factory,Medium
stackoverflow,Property '...' has no initializer and is not definitely assigned in the constructor,Low
stackoverflow,Simplest code for array intersection in javascript,Low
stackoverflow,Recommended way to embed PDF in HTML?,Low
stackoverflow,What is the difference between a 'closure' and a 'lambda'?,Medium
stackoverflow,How is an HTTP POST request made in node.js?,Low
stackoverflow,How do I disable the resizable property of a textarea?,Medium
stackoverflow,How can I stop .gitignore from appearing in the list of untracked files?,Medium
stackoverflow,How to install a previous exact version of a NPM package?,Medium
stackoverflow,Cutting multimedia files based on start and end time using ffmpeg,Low
stackoverflow,Compare two dates with JavaScript,Low
stackoverflow,Randomize a List<T>,Low
stackoverflow,List all environment variables from the command line,Low
stackoverflow,How do I discard unstaged changes in Git?,Medium
stackoverflow,How do I cast int to enum in C#?,Medium
stackoverflow,How can I get the current date and time in the terminal and set a custom command in the terminal for it?,Medium
stackoverflow,Setting Windows PowerShell environment variables,Low
stackoverflow,How can I run multiple npm scripts in parallel?,Medium
stackoverflow,Can (a== 1 && a ==2 && a==3) ever evaluate to true?,Low
stackoverflow,How to detect a mobile device using jQuery,Medium
stackoverflow,Commit only part of a file's changes in Git,Medium
stackoverflow,How do you test that a Python function throws an exception?,High
stackoverflow,Count the number of occurrences of a character in a string,Low
stackoverflow,When to use static methods,Medium
stackoverflow,Ship an application with a database,Low
stackoverflow,What's the difference between a proxy server and a reverse proxy server?,Medium
stackoverflow,SQL JOIN: what is the difference between WHERE clause and ON clause?,Medium
stackoverflow,Where is the global Git configuration data stored?,Low
stackoverflow,"How can I use ""*ngIf else""?",Medium
