source,raw_text,Score
"stackoverflow","Why is processing a sorted array faster than processing an unsorted array?","27519"
"stackoverflow","How do I undo the most recent local commits in Git?","27203"
"stackoverflow","How do I delete a Git branch locally and remotely?","20360"
"stackoverflow","What is the difference between 'git pull' and 'git fetch'?","14045"
"stackoverflow","What does the ""yield"" keyword do in Python?","13130"
"stackoverflow","How can I remove a specific item from an array in JavaScript?","12254"
"stackoverflow","How can I rename a local Git branch?","12024"
"stackoverflow","Which JSON content type do I use?","11654"
"stackoverflow","How do I undo 'git add' before commit?","11612"
"stackoverflow","What is the '-->' operator in C/C++?","10262"
"stackoverflow","How do I force ""git pull"" to overwrite local files?","9957"
"stackoverflow","Can comments be used in JSON?","9790"
"stackoverflow","What and where are the stack and heap?","9575"
"stackoverflow","Why does HTML think “chucknorris” is a color?","8950"
"stackoverflow","How can I check out a remote Git branch?","8880"
"stackoverflow","How do I check if an element is hidden in jQuery?","8741"
"stackoverflow","How do I make Git forget about a file that was tracked, but is now in .gitignore?","8616"
"stackoverflow","What does ""use strict"" do in JavaScript, and what is the reasoning behind it?","8540"
"stackoverflow","What does if __name__ == ""__main__"": do?","8436"
"stackoverflow","How do I remove local (untracked) files from the current Git working tree?","8384"
"stackoverflow","Does Python have a ternary conditional operator?","8124"
"stackoverflow","Is Java ""pass-by-reference"" or ""pass-by-value""?","7742"
"stackoverflow","Find all files containing a specific text (string) on Linux","7705"
"stackoverflow","How do I redirect to another webpage?","7694"
"stackoverflow","var functionName = function() {} vs function functionName() {}","7671"
"stackoverflow","How to modify existing, unpushed commit messages?","7639"
"stackoverflow","Why is subtracting these two epoch-milli Times (in year 1927) giving a strange result?","7617"
"stackoverflow","How do JavaScript closures work?","7609"
"stackoverflow","How do I revert a Git repository to a previous commit?","7607"
"stackoverflow","What is the difference between String and string in C#?","7600"
"stackoverflow","How do I remove a property from a JavaScript object?","7586"
"stackoverflow","What are metaclasses in Python?","7528"
"stackoverflow","How to check whether a string contains a substring in JavaScript?","7403"
"stackoverflow","How do I check whether a file exists without exceptions?","7344"
"stackoverflow","How do I merge two dictionaries in a single expression in Python?","7125"
"stackoverflow","How do I change the URI (URL) for a remote Git repository?","6893"
"stackoverflow","Move the most recent commit(s) to a new branch with Git","6770"
"stackoverflow","How do I return the response from an asynchronous call?","6744"
"stackoverflow","How do I discard unstaged changes in Git?","6478"
"stackoverflow","What is the difference between POST and PUT in HTTP?","6462"
"stackoverflow","What is the difference between px, dip, dp, and sp?","6431"
"stackoverflow","How do I get the directory where a Bash script is located from within the script itself?","6414"
"stackoverflow","What is the difference between ""let"" and ""var""?","6412"
"stackoverflow","How do I include a JavaScript file in another JavaScript file?","6381"
"stackoverflow","How do I execute a program or call a system command?","6290"
"stackoverflow","How to disable text selection highlighting","6169"
"stackoverflow","Reset local repository branch to be just like remote repository HEAD","5990"
"stackoverflow","How can I reset or revert a file to a specific revision?","5892"
"stackoverflow","What is the maximum length of a URL in different browsers?","5845"
"stackoverflow","How do I push a new local branch to a remote Git repository and track it too?","5840"
"stackoverflow","How do I squash my last N commits together?","5829"
"stackoverflow","How do I create a directory, and any missing parent directories?","5818"
"stackoverflow","Loop (for each) over an array in JavaScript","5809"
"stackoverflow","How to determine the URL that a local Git repository was originally cloned from","5729"
"stackoverflow","How can I access the index value in a 'for' loop?","5672"
"stackoverflow","Which equals operator (== vs ===) should be used in JavaScript comparisons?","5643"
"stackoverflow","What's the difference between tilde(~) and caret(^) in package.json?","5603"
"stackoverflow","How do I exit Vim?","5528"
"stackoverflow","How do I replace all occurrences of a string?","5517"
"stackoverflow","How do I add an empty directory to a Git repository?","5515"
"stackoverflow","How do I make a flat list out of a list of lists?","5511"
"stackoverflow","The definitive guide to form-based website authentication","5509"
"stackoverflow","How do I create a GUID / UUID?","5496"
"stackoverflow","Regular expression to match a line that doesn't contain a word","5476"
"stackoverflow","How can I validate an email address in JavaScript?","5469"
"stackoverflow","How do I resolve merge conflicts in a Git repository?","5441"
"stackoverflow","How do I make the first letter of a string uppercase in JavaScript?","5409"
"stackoverflow","What is a plain English explanation of ""Big O"" notation?","5402"
"stackoverflow","What is the difference between INNER JOIN and OUTER JOIN?","5293"
"stackoverflow","How do I check whether a checkbox is checked in jQuery?","5232"
"stackoverflow","What is the most efficient way to deep clone an object in JavaScript?","5157"
"stackoverflow","Reference Guide: What does this symbol mean in PHP? (PHP Syntax)","5138"
"stackoverflow","How can I delete a remote tag?","5116"
"stackoverflow","How can I horizontally center an element?","5098"
"stackoverflow","What is the difference between a URI, a URL, and a URN?","5021"
"stackoverflow","How do I check if an array includes a value in JavaScript?","5009"
"stackoverflow","Undo a Git merge that hasn't been pushed yet","4987"
"stackoverflow","How do I get a timestamp in JavaScript?","4929"
"stackoverflow","How do I clone all remote branches?","4839"
"stackoverflow","How do I update or sync a forked repository on GitHub?","4811"
"stackoverflow","What is the difference between @staticmethod and @classmethod in Python?","4792"
"stackoverflow","How to pass ""Null"" (a real surname!) to a SOAP web service in ActionScript 3","4791"
"stackoverflow","How do I read / convert an InputStream into a String in Java?","4772"
"stackoverflow","How do I remove a submodule?","4765"
"stackoverflow","How slicing in Python works","4706"
"stackoverflow","Setting ""checked"" for a checkbox with jQuery","4608"
"stackoverflow","How do I check if a directory exists or not in a Bash shell script?","4555"
"stackoverflow","Why does Google prepend while(1); to their JSON responses?","4509"
"stackoverflow","How do I delete a commit from a branch?","4508"
"stackoverflow","How is Docker different from a virtual machine?","4501"
"stackoverflow","""Thinking in AngularJS"" if I have a jQuery background?","4499"
"stackoverflow","How can I find the index for a given item in a list?","4487"
"stackoverflow","Undoing a git rebase","4468"
"stackoverflow","Which ""href"" value should I use for JavaScript links, ""#"" or ""javascript:void(0)""?","4459"
"stackoverflow","How do I avoid checking for nulls in Java?","4439"
"stackoverflow","Iterating over a dictionary using a 'for' loop, getting keys","4426"
"stackoverflow","How can I enumerate an enum?","4422"
"stackoverflow","Change an HTML input's placeholder color with CSS","4419"
"stackoverflow","How can I close/hide the Android soft keyboard programmatically?","4372"
"stackoverflow","How can I insert an item into an array at a specific index?","4353"
"stackoverflow","What are the differences between a HashMap and a Hashtable in Java?","4351"
"stackoverflow","UPDATE from a SELECT","4349"
"stackoverflow","How do I copy to the clipboard in JavaScript?","4342"
"stackoverflow","How to round to at most 2 decimal places, if necessary","4334"
"stackoverflow","Is there a CSS parent selector?","4323"
"stackoverflow","How can I validate an email address using a regular expression?","4318"
"stackoverflow","How do I get the current branch name in Git?","4280"
